_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-9.183 ; 13.534 ; 065 ; 2019-032T14:52:02.677Z ; 1.000
-5.762 ; 14.131 ; 019 ; 2018-350T09:02:14.029Z ; 1.000
-5.667 ; 12.727 ; 039 ; 2019-005T20:52:02.080Z ; 1.000
-5.181 ; 14.158 ; 170 ; 2019-140T12:17:20.123Z ; 1.000
-4.908 ; 11.344 ; 191 ; 2019-161T23:07:24.537Z ; 1.000
-4.817 ; 13.705 ; 019 ; 2018-350T08:35:57.061Z ; 1.000
-4.075 ; 12.831 ; 166 ; 2019-136T08:18:41.769Z ; 1.000
-4.053 ; 11.994 ; 065 ; 2019-032T13:17:05.767Z ; 1.000
-4.002 ; 13.781 ; 026 ; 2018-357T13:19:47.904Z ; 1.000
-3.842 ; 12.736 ; 026 ; 2018-357T12:15:20.476Z ; 1.000
-3.799 ; 14.099 ; 178 ; 2019-148T17:27:23.739Z ; 1.000
-3.761 ; 14.215 ; 211 ; 2019-182T15:09:08.859Z ; 1.000
-3.746 ; 12.238 ; 024 ; 2018-355T10:24:54.536Z ; 1.000
-3.715 ;  9.396 ; 170 ; 2019-140T07:23:51.027Z ; 1.000
-3.693 ; 11.112 ; 148 ; 2019-117T18:47:00.543Z ; 1.000
-3.666 ; 13.926 ; 029 ; 2018-360T15:28:14.400Z ; 1.000
-3.646 ; 12.755 ; 171 ; 2019-141T11:30:04.140Z ; 0.996
-3.615 ; 12.744 ; 072 ; 2019-039T18:39:49.695Z ; 1.000
-3.570 ; 12.746 ; 216 ; 2019-187T16:54:53.370Z ; 1.000
-3.487 ; 11.568 ; 168 ; 2019-138T08:19:17.785Z ; 1.000
-3.455 ; 10.164 ; 203 ; 2019-174T05:45:31.251Z ; 1.000
-3.384 ; 12.478 ; 034 ; 2018-365T17:17:56.078Z ; 1.000
-3.375 ; 13.162 ; 168 ; 2019-138T09:57:30.565Z ; 1.000
-3.374 ; 11.074 ; 148 ; 2019-117T18:44:39.546Z ; 1.000
-3.363 ; 11.642 ; 033 ; 2018-364T15:46:34.320Z ; 1.000
-3.351 ; 11.523 ; 177 ; 2019-147T14:09:24.220Z ; 1.000
-3.131 ; 11.040 ; 179 ; 2019-149T14:58:05.086Z ; 1.000
-3.124 ; 10.000 ; 188 ; 2019-158T19:46:55.371Z ; 1.000
-3.107 ; 14.993 ; 052 ; 2019-019T07:47:32.797Z ; 1.000
-3.100 ; 11.759 ; 038 ; 2019-004T19:12:35.559Z ; 1.000
-3.050 ; 12.900 ; 187 ; 2019-157T22:06:25.918Z ; 1.000
-3.027 ; 13.583 ; 197 ; 2019-168T05:20:49.726Z ; 1.000
-3.007 ; 11.767 ; 167 ; 2019-137T07:52:21.162Z ; 1.000
-2.982 ; 12.430 ; 057 ; 2019-024T08:27:32.309Z ; 1.000
-2.969 ; 11.955 ; 138 ; 2019-107T13:06:41.852Z ; 1.000
-2.953 ; 11.673 ; 105 ; 2019-073T15:13:38.535Z ; 1.000
-2.901 ; 11.386 ; 196 ; 2019-167T02:26:09.620Z ; 1.000
-2.870 ; 12.369 ; 193 ; 2019-164T01:29:03.359Z ; 1.000
-2.867 ; 13.289 ; 044 ; 2019-011T00:45:15.227Z ; 1.000
-2.848 ; 11.192 ; 026 ; 2018-357T10:40:07.093Z ; 1.000
