SOL RATIO N_D MAXdP
014 0.790 002 -2.01
015 1.000 002 -2.28
016 1.000 003 -1.24
017 1.000 002 -1.32
018 1.000 004 -1.99
019 1.000 006 -5.76
020 1.000 004 -1.54
021 1.000 002 -2.16
022 0.906 000 0.00
023 1.000 002 -1.29
024 1.000 003 -3.75
025 1.000 000 0.00
026 1.000 003 -4.00
027 1.000 000 0.00
028 1.000 001 -1.14
029 1.000 007 -3.67
032 0.995 000 0.00
033 1.000 002 -3.36
034 1.000 002 -3.38
035 1.000 001 -1.08
036 1.000 001 -1.73
037 0.671 004 -1.85
038 1.000 005 -3.10
039 1.000 004 -5.67
040 1.000 000 0.00
041 1.000 001 -1.20
042 1.000 000 0.00
043 1.000 001 -1.13
044 1.000 002 -2.87
045 1.000 000 0.00
046 1.000 001 -1.92
047 1.000 000 0.00
048 0.997 000 0.00
049 1.000 002 -2.80
050 1.000 001 -1.06
051 1.000 001 -1.42
052 1.000 004 -3.11
053 1.000 000 0.00
054 1.000 001 -1.21
055 1.000 002 -2.11
056 1.000 000 0.00
057 1.000 001 -2.98
058 1.000 000 0.00
059 1.000 000 0.00
060 1.000 001 -1.73
061 1.000 001 -1.14
062 1.000 000 0.00
063 1.000 002 -1.26
064 1.000 000 0.00
065 1.000 003 -9.18
066 0.805 000 0.00
067 1.000 002 -1.81
068 1.000 000 0.00
069 1.000 003 -1.87
070 1.000 000 0.00
071 1.000 001 -1.93
072 1.000 002 -3.62
073 1.000 001 -1.16
074 1.000 000 0.00
075 1.000 001 -2.20
076 0.758 002 -2.47
077 1.000 000 0.00
078 1.000 002 -1.56
079 1.000 001 -1.12
080 1.000 000 0.00
081 1.000 002 -1.56
082 1.000 001 -1.26
083 1.000 003 -1.51
084 1.000 001 -1.22
085 1.000 000 0.00
086 1.000 000 0.00
087 1.000 000 0.00
088 1.000 001 -1.48
089 1.000 002 -1.80
090 1.000 000 0.00
091 1.000 002 -2.30
092 0.997 000 0.00
094 1.000 001 -1.12
095 1.000 000 0.00
096 1.000 000 0.00
097 1.000 000 0.00
098 1.000 000 0.00
099 1.000 001 -1.31
100 1.000 000 0.00
101 1.000 000 0.00
102 1.000 000 0.00
103 1.000 001 -1.22
104 1.000 000 0.00
105 1.000 001 -2.95
106 1.000 000 0.00
107 1.000 000 0.00
108 0.996 001 -1.07
112 0.987 000 0.00
113 1.000 003 -1.16
114 1.000 002 -1.99
115 1.000 002 -2.24
116 1.000 002 -2.47
117 1.000 001 -1.13
118 1.000 001 -1.40
119 1.000 000 0.00
123 1.000 001 -1.61
124 1.000 001 -1.82
125 1.000 000 0.00
126 1.000 000 0.00
127 1.000 000 0.00
128 1.000 001 -1.34
129 1.000 001 -2.07
130 1.000 003 -1.66
131 1.000 001 -1.70
132 1.000 003 -1.62
133 1.000 002 -1.78
134 1.000 001 -1.33
135 1.000 001 -1.34
136 1.000 000 0.00
137 1.000 000 0.00
138 1.000 003 -2.97
139 1.000 000 0.00
140 1.000 000 0.00
141 1.000 003 -2.19
142 1.000 000 0.00
143 1.000 000 0.00
144 1.000 000 0.00
145 1.000 000 0.00
146 1.000 001 -1.27
147 1.000 001 -1.60
148 1.000 002 -3.69
149 1.000 000 0.00
150 1.000 000 0.00
151 1.000 001 -1.40
152 1.000 001 -1.28
153 1.000 001 -1.07
154 1.000 001 -1.19
155 1.000 001 -2.21
156 1.000 001 -2.17
157 1.000 000 0.00
158 1.000 001 -2.46
159 1.000 000 0.00
160 1.000 001 -1.35
161 1.000 001 -1.93
162 1.000 001 -2.33
163 1.000 003 -2.23
164 1.000 002 -1.33
165 1.000 002 -1.83
166 1.000 003 -4.08
167 1.000 003 -3.01
168 1.000 003 -3.49
169 1.000 002 -1.56
170 1.000 002 -5.18
171 0.996 005 -3.65
172 1.000 002 -2.52
173 1.000 003 -2.26
174 1.000 000 0.00
175 1.000 001 -1.29
176 1.000 004 -2.11
177 1.000 004 -3.35
178 1.000 004 -3.80
179 1.000 002 -3.13
180 1.000 002 -2.31
181 1.000 001 -1.17
182 1.000 002 -1.75
183 1.000 001 -1.48
184 1.000 001 -1.06
185 1.000 001 -1.24
186 1.000 000 0.00
187 1.000 005 -3.05
188 1.000 002 -3.12
190 1.000 004 -1.67
191 1.000 001 -4.91
192 1.000 002 -1.60
193 1.000 005 -2.87
194 1.000 001 -1.77
195 1.000 002 -2.06
196 1.000 001 -2.90
197 1.000 002 -3.03
198 1.000 003 -2.34
199 1.000 001 -1.21
200 1.000 002 -1.49
201 1.000 003 -2.76
202 1.000 001 -1.19
203 1.000 006 -3.46
204 1.000 005 -2.09
205 1.000 001 -1.44
206 1.000 002 -1.10
207 1.000 000 0.00
208 1.000 003 -2.70
209 1.000 001 -1.13
210 1.000 004 -2.46
211 1.000 002 -3.76
212 1.000 003 -2.53
213 1.000 002 -2.10
214 1.000 004 -1.40
215 1.000 003 -1.16
216 1.000 002 -3.57
217 0.543 001 -2.03
218 1.000 001 -1.07
219 1.000 003 -1.72
220 1.000 002 -2.22
